City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yuzhno-kurilsk,44.0306,145.8556,273.91,76,100,2.06,RU,1702323911
84,broken hill,-31.95,141.4333,295.15,54,43,3.89,AU,1702323912
85,bratske,47.865,31.5731,277.26,99,100,2.92,UA,1702323912
86,fort st. john,56.2499,-120.8529,268.09,74,75,5.14,CA,1702323912
87,saint marys,30.7305,-81.5465,289.3,49,0,2.57,US,1702323762
88,revda,56.801,59.9303,240.06,98,91,1.44,RU,1702323912
89,klyuchi,52.2667,79.1667,249.28,87,17,6.0,RU,1702323699
90,saint-philippe,-21.3585,55.7679,297.92,81,68,4.66,RE,1702323913
91,mao,39.8885,4.2658,285.46,94,0,2.06,ES,1702323913
92,concepcion del oro,24.6333,-101.4167,287.42,48,100,0.96,MX,1702323913
93,la'ie,21.6477,-157.9253,301.13,82,19,2.68,US,1702323732
94,loreto,22.2667,-101.9667,286.29,67,100,6.06,MX,1702323910
95,mil'kovo,55.6078,37.7956,266.67,93,100,7.02,RU,1702323913
96,chapeco,-27.0964,-52.6183,301.01,61,20,2.57,BR,1702323881
97,letlhakeng,-24.0944,25.0298,299.95,32,97,2.27,BW,1702323914
98,talnakh,69.4865,88.3972,246.44,98,100,4.47,RU,1702323914
99,susuman,62.7833,148.1667,251.47,96,100,2.24,RU,1702323914
100,kozhevnikovo,56.2589,83.9714,243.31,93,9,4.0,RU,1702323914
101,yelwa,8.8333,9.6333,298.69,19,7,3.55,NG,1702323915
102,gobabis,-22.45,18.9667,299.51,12,4,6.75,NA,1702323915
103,az zulfi,26.2995,44.8154,292.37,23,47,3.86,SA,1702323915
104,chernyshevskiy,63.0128,112.4714,240.98,99,100,1.12,RU,1702323915
105,arno,60.1167,18.6333,271.92,86,100,5.35,SE,1702323915
106,tanquian de escobedo,21.6167,-98.6333,291.88,58,100,1.19,MX,1702323915
107,villa dolores,-31.9459,-65.1896,308.25,24,3,7.85,AR,1702323916
108,malvan,16.0667,73.4667,298.52,69,44,3.75,IN,1702323916
109,puerto ayora,-0.7393,-90.3518,301.13,78,78,3.84,EC,1702323916
110,kingscliff,-28.2667,153.5667,295.24,94,100,0.0,AU,1702323916
111,anadyr,64.75,177.4833,247.59,75,0,4.0,RU,1702323916
112,saipan,15.1355,145.701,300.54,83,40,4.63,MP,1702323728
113,villa berthet,-27.2917,-60.4126,305.55,31,0,5.0,AR,1702323917
114,avarua,-21.2078,-159.775,299.18,83,100,10.8,CK,1702323917
115,karaton,-6.3424,106.1045,296.44,91,83,2.14,ID,1702323917
116,isangel,-19.55,169.2667,297.14,65,100,6.01,VU,1702323918
117,kenora,49.8167,-94.4337,266.69,100,100,6.69,CA,1702323918
118,fale old settlement,-9.3852,-171.2468,301.73,79,100,10.02,TK,1702323918
119,belle fourche,44.6714,-103.8522,281.66,42,98,6.85,US,1702323918
120,nadym,65.5333,72.5167,245.31,89,100,5.47,RU,1702323918
121,alofi,-19.0595,-169.9187,298.09,100,100,2.57,NU,1702323919
122,coquimbo,-29.9533,-71.3436,293.0,68,40,7.2,CL,1702323751
123,panguipulli,-39.6333,-72.3333,289.26,79,89,1.74,CL,1702323919
124,vel'sk,61.0701,42.0983,261.08,92,100,4.47,RU,1702323919
125,holualoa,19.6228,-155.9522,299.14,70,20,2.57,US,1702323919
126,badger,64.8,-147.5333,265.08,73,75,3.6,US,1702323920
127,aasiaat,68.7098,-52.8699,272.09,76,100,4.92,GL,1702323920
128,enewetak,11.3474,162.3373,300.76,79,15,9.55,MH,1702323920
129,lazaro cardenas,17.9583,-102.2,303.72,48,100,0.25,MX,1702323821
